,000422.SZ,000608.SZ,000698.SZ,000926.SZ,600215.SH,600269.SH,600308.SH,600322.SH,600356.SH,600508.SH,portfolio_return
20150302,0.0163,0.0173,0.0037,0.0132,0.038599999999999995,0.0063,0.0086,0.013300000000000001,0.0242,0.011899999999999999,0.015340000000000001
20150303,-0.0294,-0.0085,-0.011200000000000002,-0.0279,0.0062,-0.0147,-0.023399999999999997,-0.0197,-0.018000000000000002,-0.0208,-0.01674
20150304,0.011000000000000001,0.019299999999999998,0.0207,0.0086,0.0462,0.0106,0.013000000000000001,0.015600000000000001,0.016,0.0083,0.016930000000000004
20150305,0.0055000000000000005,0.0,0.0239,-0.013300000000000001,-0.0044,-0.0168,-0.0043,-0.0066,0.005600000000000001,-0.0046,-0.0014999999999999996
20150306,-0.0054,0.0105,-0.0216,0.001,0.023700000000000002,-0.0086,-0.0129,0.0155,-0.005600000000000001,0.0184,0.0015000000000000002
20150309,0.0286,0.018799999999999997,0.0147,0.042300000000000004,0.030299999999999997,0.0194,0.0175,0.0174,0.0192,0.0072,0.02154
20150310,-0.0053,0.0184,0.09960000000000001,0.0046,0.0323,-0.0021,0.0021,-0.0064,0.0,0.0,0.014320000000000003
20150311,-0.008,-0.004,0.0132,0.011000000000000001,-0.008199999999999999,-0.0042,0.0043,0.0,-0.01,0.0045000000000000005,-0.00013999999999999977
20150312,0.0067,-0.002,-0.039,0.0327,-0.0342,0.010700000000000001,0.0235,0.0108,-0.0078000000000000005,0.0098,0.0011200000000000001
20150313,0.0053,0.002,0.0118,-0.0097,0.014199999999999999,0.0127,-0.0042,0.0021,0.021400000000000002,0.0159,0.00715
20150316,0.0239,0.0363,0.01,0.0204,0.013999999999999999,0.0375,0.0209,0.034,0.0154,0.012199999999999999,0.02246
20150317,0.011699999999999999,0.0058,0.0232,-0.0279,-0.0014000000000000002,0.020099999999999996,0.0369,0.0226,0.0141,0.0052,0.011029999999999998
20150318,0.023,0.019299999999999998,0.050199999999999995,0.0036,0.028999999999999998,0.0335,0.0178,0.022099999999999998,0.010700000000000001,0.0223,0.02315
20150319,-0.005,0.0209,-0.0139,0.008,0.0054,0.005699999999999999,-0.0078000000000000005,0.0217,0.0339,0.0,0.006889999999999999
20150320,-0.0063,0.0242,0.0063,0.0062,0.1001,0.011399999999999999,0.0274,0.0116,-0.001,0.0025,0.018240000000000003
20150323,0.0165,0.054400000000000004,0.0202,0.019299999999999998,0.0073,0.005600000000000001,0.034300000000000004,0.0381,0.026699999999999998,0.0242,0.02466
20150324,-0.0137,-0.0275,-0.0091,-0.0173,0.0361,0.040999999999999995,-0.0129,-0.0183,-0.011000000000000001,-0.026099999999999998,-0.00588
20150325,0.0063,-0.0089,0.0507,-0.013999999999999999,-0.0105,-0.0197,-0.020499999999999997,0.015,-0.0060999999999999995,-0.0101,-0.0017799999999999995
20150326,0.0351,0.0161,-0.0263,-0.0009,-0.0223,-0.0146,0.0038,-0.0018,0.008100000000000001,0.0076,0.00047999999999999947
20150327,-0.0060999999999999995,0.0387,0.006,0.0446,0.0637,-0.0019,0.0095,0.0461,0.0161,0.0067,0.022340000000000002
20150330,0.0171,0.038900000000000004,0.0104,0.0444,0.0282,0.026000000000000002,0.047,0.1005,0.0069,0.025,0.034440000000000005
20150331,-0.0024,0.0,0.0103,-0.0229,-0.019799999999999998,-0.009000000000000001,-0.016200000000000003,-0.0048,-0.0079,-0.022000000000000002,-0.009470000000000001
